"http://vivoweb.org/ontology/core#CoPrincipalInvestigatorRole","Co-Principal Investigator Role"
"http://vivoweb.org/ontology/core#MedicalResidency","Medical Residency"
"http://www.w3.org/2002/07/owl#NamedIndividual",
"http://weill.cornell.edu/vivo/ontology/wcmc#ResearchPosition","Research Position"
"http://weill.cornell.edu/vivo/ontology/wcmc#AcademicResearchPosition","Academic Research Position"
"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat",
"http://www.w3.org/2006/vcard/ns#Telephone","Telephone"
"http://aims.fao.org/aos/geopolitical.owl#economic_region","Economic Region"
"http://purl.org/ontology/bibo/AcademicArticle","Academic Article"
"http://weill.cornell.edu/vivo/ontology/wcmc#Lecturer","Lecturer"
"http://vivoweb.org/ontology/core#NonAcademicPosition","Non-Academic Position"
"http://vivoweb.org/ontology/core#DateTimeValue","Date/Time Value"
"http://vivoweb.org/ontology/core#AdministratorRole","Administrator Role"
"http://weill.cornell.edu/vivo/ontology/wcmc#Guideline","Guideline"
"http://vivoweb.org/ontology/core#NewsRelease","News Release"
"http://purl.org/ontology/bibo/AudioVisualDocument","Audio-Visual Document"
"http://aims.fao.org/aos/geopolitical.owl#territory","Territory"
"http://purl.org/ontology/bibo/DocumentStatus","Document Status"
"http://vivoweb.org/ontology/core#GeographicRegion","Geographic Region"
"http://purl.obolibrary.org/obo/ERO_0000005","Service"
"http://www.w3.org/2006/vcard/ns#Type","Type"
"http://purl.obolibrary.org/obo/BFO_0000038","One-Dimensional Temporal Region"
"http://purl.obolibrary.org/obo/BFO_0000148","Zero-Dimensional Temporal Region"
"http://purl.org/ontology/bibo/Document","Document"
"http://vivoweb.org/ontology/core#DateTimeValuePrecision","Date/Time Value Precision"
"http://vivoweb.org/ontology/core#Relationship","Relationship"
"http://vivoweb.org/ontology/core#Position","Position"
"http://www.w3.org/2002/07/owl#FunctionalProperty",
"http://www.w3.org/2002/07/owl#AsymmetricProperty",
"http://vivoweb.org/ontology/core#Contract","Contract"
"http://purl.obolibrary.org/obo/ARG_2000379","Contact"
"http://weill.cornell.edu/vivo/ontology/wcmc#ClinicalPosition","Clinical Position"
"http://vitro.mannlib.cornell.edu/ns/vitro/0.7#PropertyGroup",
"http://vivoweb.org/ontology/core#Division","Division"
"http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap",
"http://aims.fao.org/aos/geopolitical.owl#other","Other"
"http://purl.obolibrary.org/obo/IAO_0000003","Measurement Unit Label"
"http://www.w3.org/2002/07/owl#Restriction",
"http://www.w3.org/2002/07/owl#ObjectProperty",
"http://vivoweb.org/ontology/core#Building","Building"
"http://www.w3.org/2006/vcard/ns#Calendar","Calendar"
"http://purl.org/spar/c4o/GlobalCitationCount","Global Citation Count"
"http://xmlns.com/foaf/0.1/Agent","Agent"
"http://purl.obolibrary.org/obo/BFO_0000017","Realizable Entity"
"http://purl.obolibrary.org/obo/BFO_0000006","Spatial Region"
"http://www.w3.org/2006/vcard/ns#URL","URL"
"http://vivoweb.org/ontology/core#AwardedDegree","Awarded Degree"
"http://www.w3.org/2006/vcard/ns#Email","Email"
"http://weill.cornell.edu/vivo/ontology/wcmc#KeyPersonnelRole","Key Personnel Role"
"http://vivoweb.org/ontology/core#ClinicalOrganization","Clinical Organization"
"http://vivoweb.org/ontology/core#Certificate","Certificate"
"http://vivoweb.org/ontology/core#DateTimeInterval","Date/Time Interval"
"http://vivoweb.org/ontology/core#NonFacultyAcademicPosition","Non-Faculty Academic Position"
"http://vivoweb.org/ontology/core#Library","Library"
"http://vivoweb.org/ontology/core#GeographicLocation","Geographic Location"
"http://weill.cornell.edu/vivo/ontology/wcmc#Erratum","Erratum"
"http://purl.obolibrary.org/obo/IAO_0000009","Datum Label"
"http://purl.org/ontology/bibo/EditedBook","Edited Book"
"http://www.openlinksw.com/schemas/virtrdf#QuadMapFText",
"http://purl.obolibrary.org/obo/BFO_0000001","Entity"
"http://xmlns.com/foaf/0.1/Organization","Organization"
"http://purl.obolibrary.org/obo/BFO_0000031","Generically Dependent Continuant"
"http://www.w3.org/2002/07/owl#Thing","Thing"
"http://vivoweb.org/ontology/core#Agreement",
"http://purl.org/ontology/bibo/Website","Website"
"http://weill.cornell.edu/vivo/ontology/wcmc#Instructor","Instructor"
"http://purl.obolibrary.org/obo/ERO_0000391","Access Service"
"http://weill.cornell.edu/vivo/ontology/wcmc#ExternalEntity","External Entity"
"http://weill.cornell.edu/vivo/ontology/wcmc#ClinicalTrialAgreement","Clinical Trial Agreement"
"http://vivoweb.org/ontology/core#Internship","Internship"
"http://vivoweb.org/ontology/core#Review","Review"
"http://vitro.mannlib.cornell.edu/ns/vitro/0.7#ClassGroup",
